"rank","stimulus","M","SD","CI","CI_lower","CI_upper"
1,"yes",571,164,12,559,583
2,"sure",596,164,12,584,608
3,"correct",597,162,12,585,609
4,"right",603,166,12,591,615
5,"confirm",614,171,12,602,626
6,"incorrect",631,192,14,617,645
7,"untrue",639,194,14,625,653
8,"no",640,181,13,627,653
9,"wrong",643,189,14,629,657
10,"invalid",645,203,15,630,660
11,"inaccurate",649,193,14,635,663
12,"inexact",651,210,15,636,666
13,"accurate",654,184,13,641,667
14,"valid",677,205,15,662,692
15,"deny",699,206,15,684,714
16,"definite",718,231,17,701,735
