"participant","accuracy","rt","stimulus","age","gender"
107,"1","4491","predicts",22,"male"
107,"0","2632","precludes",22,"male"
107,"1","1538","averts",22,"male"
107,"1","812","starts",22,"male"
107,"1","2067","avoids",22,"male"
107,"1","730","affects",22,"male"
107,"1","1407","leads to",22,"male"
107,"1","920","ceases",22,"male"
107,"1","1060","influences",22,"male"
107,"1","689","halts",22,"male"
107,"1","1636","produces",22,"male"
107,"1","1410","blocks",22,"male"
107,"1","933","determines",22,"male"
107,"1","1363","results in",22,"male"
107,"1","1729","influences",22,"male"
107,"1","631","ends",22,"male"
107,"1","454","stops",22,"male"
107,"1","703","determines",22,"male"
107,"0","1476","halts",22,"male"
107,"1","1086","ceases",22,"male"
107,"1","600","produces",22,"male"
107,"1","1021","results in",22,"male"
107,"1","728","affects",22,"male"
107,"1","514","ends",22,"male"
107,"1","1066","leads to",22,"male"
107,"1","610","blocks",22,"male"
107,"1","520","predicts",22,"male"
107,"1","677","starts",22,"male"
107,"1","826","stops",22,"male"
107,"1","563","starts",22,"male"
107,"1","1148","affects",22,"male"
107,"1","708","produces",22,"male"
107,"0","970","averts",22,"male"
107,"1","2409","precludes",22,"male"
107,"1","763","avoids",22,"male"
107,"1","514","precludes",22,"male"
107,"1","572","stops",22,"male"
107,"0","1108","predicts",22,"male"
107,"1","1920","ceases",22,"male"
107,"1","681","blocks",22,"male"
107,"1","1301","leads to",22,"male"
107,"1","564","halts",22,"male"
107,"1","2467","determines",22,"male"
107,"0","962","results in",22,"male"
107,"0","1368","influences",22,"male"
107,"1","657","ends",22,"male"
107,"1","549","avoids",22,"male"
107,"1","803","results in",22,"male"
107,"0","1122","averts",22,"male"
107,"1","608","ends",22,"male"
107,"1","455","determines",22,"male"
107,"1","687","starts",22,"male"
107,"0","771","averts",22,"male"
107,"0","893","predicts",22,"male"
107,"1","458","produces",22,"male"
107,"1","743","influences",22,"male"
107,"1","467","blocks",22,"male"
107,"1","881","ceases",22,"male"
107,"1","1363","avoids",22,"male"
107,"1","881","precludes",22,"male"
107,"1","1365","halts",22,"male"
107,"1","675","affects",22,"male"
107,"1","727","leads to",22,"male"
107,"1","1302","stops",22,"male"
107,"1","2529","predicts",22,"male"
107,"1","499","blocks",22,"male"
107,"1","2792","influences",22,"male"
107,"1","477","affects",22,"male"
107,"0","1431","determines",22,"male"
107,"1","575","ceases",22,"male"
107,"0","1032","precludes",22,"male"
107,"1","552","leads to",22,"male"
107,"1","669","stops",22,"male"
107,"0","2371","results in",22,"male"
107,"0","943","avoids",22,"male"
107,"1","463","averts",22,"male"
107,"1","374","ends",22,"male"
107,"1","558","produces",22,"male"
107,"1","516","halts",22,"male"
107,"1","510","starts",22,"male"
107,"1","937","produces",22,"male"
107,"1","492","blocks",22,"male"
107,"1","445","ends",22,"male"
107,"1","2017","results in",22,"male"
107,"1","389","starts",22,"male"
107,"1","2358","affects",22,"male"
107,"1","670","averts",22,"male"
107,"1","1546","predicts",22,"male"
107,"0","1926","influences",22,"male"
107,"1","918","precludes",22,"male"
107,"1","1255","determines",22,"male"
107,"1","614","halts",22,"male"
107,"1","1052","leads to",22,"male"
107,"1","1038","ceases",22,"male"
107,"1","658","stops",22,"male"
107,"1","632","avoids",22,"male"
107,"1","439","avoids",22,"male"
107,"1","1149","leads to",22,"male"
107,"1","609","ceases",22,"male"
107,"1","3816","affects",22,"male"
107,"0","1472","results in",22,"male"
107,"0","2102","influences",22,"male"
107,"0","1211","produces",22,"male"
107,"0","588","ends",22,"male"
107,"1","756","precludes",22,"male"
107,"1","586","predicts",22,"male"
107,"0","1034","determines",22,"male"
107,"1","559","stops",22,"male"
107,"1","470","blocks",22,"male"
107,"1","652","starts",22,"male"
107,"1","1894","predicts",22,"male"
107,"1","847","leads to",22,"male"
107,"1","2966","produces",22,"male"
107,"1","484","results in",22,"male"
107,"1","506","halts",22,"male"
107,"1","479","starts",22,"male"
107,"1","632","averts",22,"male"
107,"1","692","affects",22,"male"
107,"1","1687","determines",22,"male"
107,"1","542","halts",22,"male"
107,"1","1036","influences",22,"male"
107,"1","544","averts",22,"male"
107,"1","1278","predicts",22,"male"
107,"1","520","blocks",22,"male"
107,"1","672","affects",22,"male"
107,"0","1337","leads to",22,"male"
107,"1","959","stops",22,"male"
107,"0","840","ends",22,"male"
107,"0","931","precludes",22,"male"
107,"1","819","avoids",22,"male"
107,"1","622","ceases",22,"male"
107,"1","558","influences",22,"male"
107,"1","1257","produces",22,"male"
107,"1","839","ceases",22,"male"
107,"1","553","starts",22,"male"
107,"0","1110","determines",22,"male"
107,"1","563","ends",22,"male"
107,"0","1137","precludes",22,"male"
107,"1","1296","halts",22,"male"
107,"1","411","stops",22,"male"
107,"0","1405","averts",22,"male"
107,"1","534","blocks",22,"male"
107,"1","916","results in",22,"male"
107,"1","1075","produces",22,"male"
107,"1","665","avoids",22,"male"
107,"1","572","ceases",22,"male"
107,"0","787","starts",22,"male"
107,"1","922","stops",22,"male"
107,"0","1721","influences",22,"male"
107,"1","864","avoids",22,"male"
107,"1","547","results in",22,"male"
107,"1","695","determines",22,"male"
107,"1","512","ends",22,"male"
107,"1","875","leads to",22,"male"
107,"1","1196","predicts",22,"male"
107,"0","1039","averts",22,"male"
107,"0","874","precludes",22,"male"
107,"1","584","halts",22,"male"
107,"1","398","blocks",22,"male"
107,"1","504","affects",22,"male"
107,"1","692","ceases",22,"male"
107,"1","648","predicts",22,"male"
107,"1","635","ends",22,"male"
107,"1","952","stops",22,"male"
107,"1","442","avoids",22,"male"
107,"0","823","halts",22,"male"
107,"1","614","results in",22,"male"
107,"1","617","blocks",22,"male"
107,"1","489","averts",22,"male"
107,"1","519","precludes",22,"male"
107,"1","506","averts",22,"male"
107,"1","431","avoids",22,"male"
107,"1","440","blocks",22,"male"
107,"0","1231","affects",22,"male"
107,"1","560","ends",22,"male"
107,"1","764","precludes",22,"male"
107,"1","871","determines",22,"male"
107,"1","946","leads to",22,"male"
107,"1","573","influences",22,"male"
107,"1","894","produces",22,"male"
107,"0","852","starts",22,"male"
107,"1","649","predicts",22,"male"
107,"1","499","halts",22,"male"
107,"1","672","determines",22,"male"
107,"1","606","starts",22,"male"
107,"1","568","leads to",22,"male"
107,"1","493","influences",22,"male"
107,"1","589","ceases",22,"male"
107,"1","589","results in",22,"male"
107,"1","554","affects",22,"male"
107,"1","511","stops",22,"male"
107,"1","795","avoids",22,"male"
107,"1","600","produces",22,"male"
107,"1","556","halts",22,"male"
107,"1","765","blocks",22,"male"
107,"1","437","stops",22,"male"
107,"0","1084","influences",22,"male"
107,"1","602","starts",22,"male"
107,"1","485","predicts",22,"male"
107,"1","539","leads to",22,"male"
107,"1","1015","ceases",22,"male"
107,"1","650","ends",22,"male"
107,"1","582","produces",22,"male"
107,"1","912","results in",22,"male"
107,"1","1907","averts",22,"male"
107,"0","1271","precludes",22,"male"
107,"0","1131","averts",22,"male"
107,"1","687","determines",22,"male"
107,"1","982","affects",22,"male"
107,"1","471","affects",22,"male"
107,"0","833","avoids",22,"male"
107,"1","1336","ceases",22,"male"
107,"1","1206","halts",22,"male"
107,"1","647","influences",22,"male"
107,"1","928","precludes",22,"male"
107,"1","584","starts",22,"male"
107,"1","1064","produces",22,"male"
107,"1","531","ends",22,"male"
107,"1","609","results in",22,"male"
107,"1","1009","blocks",22,"male"
107,"1","1149","stops",22,"male"
107,"1","816","leads to",22,"male"
107,"1","737","predicts",22,"male"
107,"1","662","halts",22,"male"
107,"0","1221","avoids",22,"male"
107,"1","539","blocks",22,"male"
107,"0","1279","determines",22,"male"
107,"1","449","ends",22,"male"
107,"1","664","leads to",22,"male"
107,"1","1006","produces",22,"male"
107,"1","959","precludes",22,"male"
107,"1","546","stops",22,"male"
107,"1","454","determines",22,"male"
107,"1","1157","influences",22,"male"
107,"1","489","ceases",22,"male"
107,"1","569","starts",22,"male"
107,"1","3035","averts",22,"male"
107,"1","794","results in",22,"male"
