"participant","accuracy","rt","stimulus","age","gender"
108,"1","742","inaccurate",25,"male"
108,"1","665","valid",25,"male"
108,"1","624","wrong",25,"male"
108,"1","523","correct",25,"male"
108,"1","749","untrue",25,"male"
108,"1","655","sure",25,"male"
108,"1","948","accurate",25,"male"
108,"1","531","no",25,"male"
108,"1","653","deny",25,"male"
108,"1","658","confirm",25,"male"
108,"1","1119","inexact",25,"male"
108,"1","484","yes",25,"male"
108,"1","728","definite",25,"male"
108,"0","1078","incorrect",25,"male"
108,"1","427","right",25,"male"
108,"1","843","definite",25,"male"
108,"1","678","invalid",25,"male"
108,"1","533","confirm",25,"male"
108,"1","569","yes",25,"male"
108,"1","779","right",25,"male"
108,"1","627","incorrect",25,"male"
108,"1","563","deny",25,"male"
108,"1","815","inaccurate",25,"male"
108,"1","553","accurate",25,"male"
108,"1","671","sure",25,"male"
108,"1","576","untrue",25,"male"
108,"1","518","wrong",25,"male"
108,"1","780","valid",25,"male"
108,"1","719","correct",25,"male"
108,"1","629","no",25,"male"
108,"1","1221","correct",25,"male"
108,"1","428","yes",25,"male"
108,"1","508","invalid",25,"male"
108,"1","548","inexact",25,"male"
108,"1","549","definite",25,"male"
108,"1","504","sure",25,"male"
108,"1","515","incorrect",25,"male"
108,"1","535","confirm",25,"male"
108,"1","541","right",25,"male"
108,"1","485","no",25,"male"
108,"1","491","valid",25,"male"
108,"1","494","accurate",25,"male"
108,"1","608","inexact",25,"male"
108,"1","429","yes",25,"male"
108,"1","401","sure",25,"male"
108,"1","449","inaccurate",25,"male"
108,"1","502","definite",25,"male"
108,"1","544","wrong",25,"male"
108,"1","900","invalid",25,"male"
108,"1","686","deny",25,"male"
108,"1","1147","untrue",25,"male"
108,"1","863","valid",25,"male"
108,"1","598","inexact",25,"male"
108,"1","854","inaccurate",25,"male"
108,"1","563","no",25,"male"
108,"1","560","correct",25,"male"
108,"1","602","accurate",25,"male"
108,"1","639","confirm",25,"male"
108,"1","812","wrong",25,"male"
108,"1","490","right",25,"male"
108,"1","583","sure",25,"male"
108,"1","473","untrue",25,"male"
108,"1","470","correct",25,"male"
108,"1","610","definite",25,"male"
108,"1","640","confirm",25,"male"
108,"1","697","incorrect",25,"male"
108,"1","534","valid",25,"male"
108,"1","567","invalid",25,"male"
108,"0","1008","deny",25,"male"
108,"0","1639","incorrect",25,"male"
108,"1","508","accurate",25,"male"
108,"1","735","inexact",25,"male"
108,"1","518","right",25,"male"
108,"1","465","deny",25,"male"
108,"1","598","untrue",25,"male"
108,"1","506","yes",25,"male"
108,"1","630","wrong",25,"male"
108,"1","707","inaccurate",25,"male"
108,"1","534","no",25,"male"
108,"1","494","invalid",25,"male"
108,"1","684","correct",25,"male"
108,"1","433","incorrect",25,"male"
108,"1","567","confirm",25,"male"
108,"1","480","sure",25,"male"
108,"1","482","wrong",25,"male"
108,"1","431","yes",25,"male"
108,"1","487","right",25,"male"
108,"1","545","definite",25,"male"
108,"1","633","valid",25,"male"
108,"1","527","invalid",25,"male"
108,"1","654","deny",25,"male"
108,"1","501","no",25,"male"
108,"1","637","inexact",25,"male"
108,"1","831","untrue",25,"male"
108,"1","805","accurate",25,"male"
108,"1","1343","definite",25,"male"
108,"1","455","inaccurate",25,"male"
108,"1","529","correct",25,"male"
108,"1","536","invalid",25,"male"
108,"1","494","valid",25,"male"
108,"1","522","incorrect",25,"male"
108,"1","431","yes",25,"male"
108,"1","598","confirm",25,"male"
108,"1","541","right",25,"male"
108,"1","500","inaccurate",25,"male"
108,"1","653","no",25,"male"
108,"1","440","sure",25,"male"
108,"1","513","accurate",25,"male"
108,"1","474","wrong",25,"male"
108,"1","545","correct",25,"male"
108,"1","574","deny",25,"male"
108,"1","553","sure",25,"male"
108,"1","520","confirm",25,"male"
108,"1","582","valid",25,"male"
108,"1","428","yes",25,"male"
108,"1","518","untrue",25,"male"
108,"1","656","inexact",25,"male"
108,"1","641","definite",25,"male"
108,"1","616","inaccurate",25,"male"
108,"1","532","no",25,"male"
108,"1","755","invalid",25,"male"
108,"0","1501","deny",25,"male"
108,"1","392","accurate",25,"male"
108,"1","568","incorrect",25,"male"
108,"1","420","right",25,"male"
108,"1","347","right",25,"male"
108,"1","420","inexact",25,"male"
108,"1","693","untrue",25,"male"
108,"1","553","wrong",25,"male"
108,"1","506","yes",25,"male"
108,"1","556","incorrect",25,"male"
108,"1","393","sure",25,"male"
108,"1","456","deny",25,"male"
108,"1","512","wrong",25,"male"
108,"1","541","accurate",25,"male"
108,"1","699","invalid",25,"male"
108,"1","518","correct",25,"male"
108,"1","486","inaccurate",25,"male"
108,"1","717","no",25,"male"
108,"1","613","inexact",25,"male"
108,"1","574","untrue",25,"male"
108,"1","586","valid",25,"male"
108,"1","534","invalid",25,"male"
108,"1","467","inaccurate",25,"male"
108,"0","946","no",25,"male"
108,"1","583","definite",25,"male"
108,"1","674","confirm",25,"male"
108,"1","472","correct",25,"male"
108,"1","497","deny",25,"male"
108,"1","569","wrong",25,"male"
108,"1","1221","definite",25,"male"
108,"1","522","confirm",25,"male"
108,"1","486","right",25,"male"
108,"1","631","accurate",25,"male"
108,"1","439","yes",25,"male"
108,"1","450","sure",25,"male"
108,"1","585","inexact",25,"male"
108,"1","467","untrue",25,"male"
108,"1","678","incorrect",25,"male"
108,"1","690","valid",25,"male"
108,"1","563","untrue",25,"male"
108,"1","541","correct",25,"male"
108,"1","418","yes",25,"male"
108,"1","486","valid",25,"male"
108,"1","417","no",25,"male"
108,"1","546","inexact",25,"male"
108,"1","428","invalid",25,"male"
108,"1","503","deny",25,"male"
108,"1","423","wrong",25,"male"
108,"1","462","accurate",25,"male"
108,"1","435","sure",25,"male"
